ID;listingId;fieldName;fieldValue;source;sourceTimestamp;isCertified;isOverridden
cf000001-0000-0000-0000-000000000001;b0000001-0000-0000-0000-000000000001;make;Renault;vehicle-lookup;2025-11-30T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000002;b0000001-0000-0000-0000-000000000001;model;Clio V;vehicle-lookup;2025-11-30T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000003;b0000001-0000-0000-0000-000000000001;variant;RS Line;vehicle-lookup;2025-11-30T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000004;b0000001-0000-0000-0000-000000000001;year;2022;vehicle-lookup;2025-11-30T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000005;b0000001-0000-0000-0000-000000000001;fuelType;essence;vehicle-lookup;2025-11-30T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000006;b0000001-0000-0000-0000-000000000001;engineCapacityCc;1333;vehicle-lookup;2025-11-30T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000007;b0000001-0000-0000-0000-000000000001;powerKw;96;vehicle-lookup;2025-11-30T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000008;b0000001-0000-0000-0000-000000000001;powerHp;131;vehicle-lookup;2025-11-30T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000009;b0000001-0000-0000-0000-000000000001;co2GKm;128;emission;2025-11-30T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000010;b0000001-0000-0000-0000-000000000001;euroNorm;Euro 6d;emission;2025-11-30T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000011;b0000001-0000-0000-0000-000000000002;make;Peugeot;vehicle-lookup;2025-12-14T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000012;b0000001-0000-0000-0000-000000000002;model;308 GT;vehicle-lookup;2025-12-14T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000013;b0000001-0000-0000-0000-000000000002;year;2023;vehicle-lookup;2025-12-14T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000014;b0000001-0000-0000-0000-000000000002;fuelType;diesel;vehicle-lookup;2025-12-14T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000015;b0000001-0000-0000-0000-000000000002;engineCapacityCc;1499;vehicle-lookup;2025-12-14T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000016;b0000001-0000-0000-0000-000000000002;powerKw;96;vehicle-lookup;2025-12-14T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000017;b0000001-0000-0000-0000-000000000002;powerHp;130;vehicle-lookup;2025-12-14T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000018;b0000001-0000-0000-0000-000000000002;co2GKm;102;emission;2025-12-14T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000019;b0000001-0000-0000-0000-000000000002;euroNorm;Euro 6d-FULL;emission;2025-12-14T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000020;b0000001-0000-0000-0000-000000000003;make;Volkswagen;vehicle-lookup;2026-01-04T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000021;b0000001-0000-0000-0000-000000000003;model;Golf 8;vehicle-lookup;2026-01-04T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000022;b0000001-0000-0000-0000-000000000003;year;2021;vehicle-lookup;2026-01-04T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000023;b0000001-0000-0000-0000-000000000003;fuelType;essence;vehicle-lookup;2026-01-04T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000024;b0000001-0000-0000-0000-000000000003;engineCapacityCc;1498;vehicle-lookup;2026-01-04T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000025;b0000001-0000-0000-0000-000000000003;powerKw;110;vehicle-lookup;2026-01-04T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000026;b0000001-0000-0000-0000-000000000003;powerHp;150;vehicle-lookup;2026-01-04T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000027;b0000001-0000-0000-0000-000000000003;co2GKm;132;emission;2026-01-04T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000028;b0000001-0000-0000-0000-000000000003;euroNorm;Euro 6d;emission;2026-01-04T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000029;b0000001-0000-0000-0000-000000000004;make;BMW;vehicle-lookup;2026-01-09T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000030;b0000001-0000-0000-0000-000000000004;model;Serie 3;vehicle-lookup;2026-01-09T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000031;b0000001-0000-0000-0000-000000000004;variant;320d;vehicle-lookup;2026-01-09T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000032;b0000001-0000-0000-0000-000000000004;year;2020;vehicle-lookup;2026-01-09T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000033;b0000001-0000-0000-0000-000000000004;fuelType;diesel;vehicle-lookup;2026-01-09T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000034;b0000001-0000-0000-0000-000000000004;engineCapacityCc;1995;vehicle-lookup;2026-01-09T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000035;b0000001-0000-0000-0000-000000000004;powerKw;140;vehicle-lookup;2026-01-09T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000036;b0000001-0000-0000-0000-000000000004;powerHp;190;vehicle-lookup;2026-01-09T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000037;b0000001-0000-0000-0000-000000000004;co2GKm;118;emission;2026-01-09T09:00:00Z;true;false
cf000001-0000-0000-0000-000000000038;b0000001-0000-0000-0000-000000000004;euroNorm;Euro 6d-TEMP;emission;2026-01-09T09:00:00Z;true;false
