ID;listingId;blobUrl;cdnUrl;sortOrder;isPrimary;fileSize;mimeType;width;height;uploadedAt
d0000001-0000-0000-0000-000000000001;b0000001-0000-0000-0000-000000000001;https://placehold.co/800x600/e74c3c/fff?text=Renault+Clio+V+1;https://placehold.co/800x600/e74c3c/fff?text=Renault+Clio+V+1;0;true;102400;image/jpeg;800;600;2025-11-30T10:00:00Z
d0000001-0000-0000-0000-000000000002;b0000001-0000-0000-0000-000000000001;https://placehold.co/800x600/e74c3c/fff?text=Renault+Clio+V+2;https://placehold.co/800x600/e74c3c/fff?text=Renault+Clio+V+2;1;false;98000;image/jpeg;800;600;2025-11-30T10:01:00Z
d0000001-0000-0000-0000-000000000003;b0000001-0000-0000-0000-000000000001;https://placehold.co/800x600/e74c3c/fff?text=Renault+Clio+V+3;https://placehold.co/800x600/e74c3c/fff?text=Renault+Clio+V+3;2;false;95000;image/jpeg;800;600;2025-11-30T10:02:00Z
d0000001-0000-0000-0000-000000000004;b0000001-0000-0000-0000-000000000001;https://placehold.co/800x600/e74c3c/fff?text=Renault+Clio+V+Interieur;https://placehold.co/800x600/e74c3c/fff?text=Renault+Clio+V+Interieur;3;false;110000;image/jpeg;800;600;2025-11-30T10:03:00Z
d0000001-0000-0000-0000-000000000005;b0000001-0000-0000-0000-000000000001;https://placehold.co/800x600/e74c3c/fff?text=Renault+Clio+V+Moteur;https://placehold.co/800x600/e74c3c/fff?text=Renault+Clio+V+Moteur;4;false;105000;image/jpeg;800;600;2025-11-30T10:04:00Z
d0000001-0000-0000-0000-000000000006;b0000001-0000-0000-0000-000000000002;https://placehold.co/800x600/2980b9/fff?text=Peugeot+308+GT+1;https://placehold.co/800x600/2980b9/fff?text=Peugeot+308+GT+1;0;true;115000;image/jpeg;800;600;2025-12-14T10:00:00Z
d0000001-0000-0000-0000-000000000007;b0000001-0000-0000-0000-000000000002;https://placehold.co/800x600/2980b9/fff?text=Peugeot+308+GT+2;https://placehold.co/800x600/2980b9/fff?text=Peugeot+308+GT+2;1;false;108000;image/jpeg;800;600;2025-12-14T10:01:00Z
d0000001-0000-0000-0000-000000000008;b0000001-0000-0000-0000-000000000002;https://placehold.co/800x600/2980b9/fff?text=Peugeot+308+GT+3;https://placehold.co/800x600/2980b9/fff?text=Peugeot+308+GT+3;2;false;101000;image/jpeg;800;600;2025-12-14T10:02:00Z
d0000001-0000-0000-0000-000000000009;b0000001-0000-0000-0000-000000000002;https://placehold.co/800x600/2980b9/fff?text=Peugeot+308+GT+Interieur;https://placehold.co/800x600/2980b9/fff?text=Peugeot+308+GT+Interieur;3;false;112000;image/jpeg;800;600;2025-12-14T10:03:00Z
d0000001-0000-0000-0000-000000000010;b0000001-0000-0000-0000-000000000002;https://placehold.co/800x600/2980b9/fff?text=Peugeot+308+GT+Coffre;https://placehold.co/800x600/2980b9/fff?text=Peugeot+308+GT+Coffre;4;false;99000;image/jpeg;800;600;2025-12-14T10:04:00Z
d0000001-0000-0000-0000-000000000011;b0000001-0000-0000-0000-000000000003;https://placehold.co/800x600/7f8c8d/fff?text=VW+Golf+8+1;https://placehold.co/800x600/7f8c8d/fff?text=VW+Golf+8+1;0;true;107000;image/jpeg;800;600;2026-01-04T10:00:00Z
d0000001-0000-0000-0000-000000000012;b0000001-0000-0000-0000-000000000003;https://placehold.co/800x600/7f8c8d/fff?text=VW+Golf+8+2;https://placehold.co/800x600/7f8c8d/fff?text=VW+Golf+8+2;1;false;103000;image/jpeg;800;600;2026-01-04T10:01:00Z
d0000001-0000-0000-0000-000000000013;b0000001-0000-0000-0000-000000000003;https://placehold.co/800x600/7f8c8d/fff?text=VW+Golf+8+3;https://placehold.co/800x600/7f8c8d/fff?text=VW+Golf+8+3;2;false;96000;image/jpeg;800;600;2026-01-04T10:02:00Z
d0000001-0000-0000-0000-000000000014;b0000001-0000-0000-0000-000000000003;https://placehold.co/800x600/7f8c8d/fff?text=VW+Golf+8+Interieur;https://placehold.co/800x600/7f8c8d/fff?text=VW+Golf+8+Interieur;3;false;111000;image/jpeg;800;600;2026-01-04T10:03:00Z
d0000001-0000-0000-0000-000000000015;b0000001-0000-0000-0000-000000000003;https://placehold.co/800x600/7f8c8d/fff?text=VW+Golf+8+Arriere;https://placehold.co/800x600/7f8c8d/fff?text=VW+Golf+8+Arriere;4;false;100000;image/jpeg;800;600;2026-01-04T10:04:00Z
d0000001-0000-0000-0000-000000000016;b0000001-0000-0000-0000-000000000004;https://placehold.co/800x600/2c3e50/fff?text=BMW+Serie+3+1;https://placehold.co/800x600/2c3e50/fff?text=BMW+Serie+3+1;0;true;118000;image/jpeg;800;600;2026-01-09T10:00:00Z
d0000001-0000-0000-0000-000000000017;b0000001-0000-0000-0000-000000000004;https://placehold.co/800x600/2c3e50/fff?text=BMW+Serie+3+2;https://placehold.co/800x600/2c3e50/fff?text=BMW+Serie+3+2;1;false;114000;image/jpeg;800;600;2026-01-09T10:01:00Z
d0000001-0000-0000-0000-000000000018;b0000001-0000-0000-0000-000000000004;https://placehold.co/800x600/2c3e50/fff?text=BMW+Serie+3+3;https://placehold.co/800x600/2c3e50/fff?text=BMW+Serie+3+3;2;false;109000;image/jpeg;800;600;2026-01-09T10:02:00Z
d0000001-0000-0000-0000-000000000019;b0000001-0000-0000-0000-000000000004;https://placehold.co/800x600/2c3e50/fff?text=BMW+Serie+3+Interieur;https://placehold.co/800x600/2c3e50/fff?text=BMW+Serie+3+Interieur;3;false;120000;image/jpeg;800;600;2026-01-09T10:03:00Z
d0000001-0000-0000-0000-000000000020;b0000001-0000-0000-0000-000000000004;https://placehold.co/800x600/2c3e50/fff?text=BMW+Serie+3+Tableau;https://placehold.co/800x600/2c3e50/fff?text=BMW+Serie+3+Tableau;4;false;116000;image/jpeg;800;600;2026-01-09T10:04:00Z
d0000001-0000-0000-0000-000000000021;b0000001-0000-0000-0000-000000000005;https://placehold.co/800x600/8e44ad/fff?text=Audi+A3+1;https://placehold.co/800x600/8e44ad/fff?text=Audi+A3+1;0;true;104000;image/jpeg;800;600;2026-01-19T10:00:00Z
d0000001-0000-0000-0000-000000000022;b0000001-0000-0000-0000-000000000005;https://placehold.co/800x600/8e44ad/fff?text=Audi+A3+2;https://placehold.co/800x600/8e44ad/fff?text=Audi+A3+2;1;false;97000;image/jpeg;800;600;2026-01-19T10:01:00Z
d0000001-0000-0000-0000-000000000023;b0000001-0000-0000-0000-000000000005;https://placehold.co/800x600/8e44ad/fff?text=Audi+A3+3;https://placehold.co/800x600/8e44ad/fff?text=Audi+A3+3;2;false;93000;image/jpeg;800;600;2026-01-19T10:02:00Z
d0000001-0000-0000-0000-000000000024;b0000001-0000-0000-0000-000000000006;https://placehold.co/800x600/27ae60/fff?text=Toyota+Yaris+Cross+1;https://placehold.co/800x600/27ae60/fff?text=Toyota+Yaris+Cross+1;0;true;106000;image/jpeg;800;600;2026-01-31T10:00:00Z
d0000001-0000-0000-0000-000000000025;b0000001-0000-0000-0000-000000000006;https://placehold.co/800x600/27ae60/fff?text=Toyota+Yaris+Cross+2;https://placehold.co/800x600/27ae60/fff?text=Toyota+Yaris+Cross+2;1;false;100000;image/jpeg;800;600;2026-01-31T10:01:00Z
d0000001-0000-0000-0000-000000000026;b0000001-0000-0000-0000-000000000006;https://placehold.co/800x600/27ae60/fff?text=Toyota+Yaris+Cross+3;https://placehold.co/800x600/27ae60/fff?text=Toyota+Yaris+Cross+3;2;false;94000;image/jpeg;800;600;2026-01-31T10:02:00Z
d0000001-0000-0000-0000-000000000027;b0000001-0000-0000-0000-000000000007;https://placehold.co/800x600/34495e/fff?text=Mercedes+Classe+A+1;https://placehold.co/800x600/34495e/fff?text=Mercedes+Classe+A+1;0;true;113000;image/jpeg;800;600;2026-02-04T10:00:00Z
d0000001-0000-0000-0000-000000000028;b0000001-0000-0000-0000-000000000007;https://placehold.co/800x600/34495e/fff?text=Mercedes+Classe+A+2;https://placehold.co/800x600/34495e/fff?text=Mercedes+Classe+A+2;1;false;108000;image/jpeg;800;600;2026-02-04T10:01:00Z
d0000001-0000-0000-0000-000000000029;b0000001-0000-0000-0000-000000000007;https://placehold.co/800x600/34495e/fff?text=Mercedes+Classe+A+3;https://placehold.co/800x600/34495e/fff?text=Mercedes+Classe+A+3;2;false;101000;image/jpeg;800;600;2026-02-04T10:02:00Z
d0000001-0000-0000-0000-000000000030;b0000001-0000-0000-0000-000000000008;https://placehold.co/800x600/d35400/fff?text=Ford+Focus+1;https://placehold.co/800x600/d35400/fff?text=Ford+Focus+1;0;true;102000;image/jpeg;800;600;2026-02-09T10:00:00Z
d0000001-0000-0000-0000-000000000031;b0000001-0000-0000-0000-000000000008;https://placehold.co/800x600/d35400/fff?text=Ford+Focus+2;https://placehold.co/800x600/d35400/fff?text=Ford+Focus+2;1;false;97000;image/jpeg;800;600;2026-02-09T10:01:00Z
d0000001-0000-0000-0000-000000000032;b0000001-0000-0000-0000-000000000008;https://placehold.co/800x600/d35400/fff?text=Ford+Focus+3;https://placehold.co/800x600/d35400/fff?text=Ford+Focus+3;2;false;93000;image/jpeg;800;600;2026-02-09T10:02:00Z
d0000001-0000-0000-0000-000000000033;b0000001-0000-0000-0000-000000000009;https://placehold.co/800x600/16a085/fff?text=Citroen+C3+1;https://placehold.co/800x600/16a085/fff?text=Citroen+C3+1;0;true;99000;image/jpeg;800;600;2025-09-30T10:00:00Z
d0000001-0000-0000-0000-000000000034;b0000001-0000-0000-0000-000000000009;https://placehold.co/800x600/16a085/fff?text=Citroen+C3+2;https://placehold.co/800x600/16a085/fff?text=Citroen+C3+2;1;false;95000;image/jpeg;800;600;2025-09-30T10:01:00Z
d0000001-0000-0000-0000-000000000035;b0000001-0000-0000-0000-000000000009;https://placehold.co/800x600/16a085/fff?text=Citroen+C3+3;https://placehold.co/800x600/16a085/fff?text=Citroen+C3+3;2;false;91000;image/jpeg;800;600;2025-09-30T10:02:00Z
d0000001-0000-0000-0000-000000000036;b0000001-0000-0000-0000-000000000010;https://placehold.co/800x600/f39c12/fff?text=Dacia+Sandero+1;https://placehold.co/800x600/f39c12/fff?text=Dacia+Sandero+1;0;true;96000;image/jpeg;800;600;2025-08-31T10:00:00Z
d0000001-0000-0000-0000-000000000037;b0000001-0000-0000-0000-000000000010;https://placehold.co/800x600/f39c12/fff?text=Dacia+Sandero+2;https://placehold.co/800x600/f39c12/fff?text=Dacia+Sandero+2;1;false;92000;image/jpeg;800;600;2025-08-31T10:01:00Z
